"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"tinowns","LOUD","Middle",18,"72%","72%",83,34,113,5.8,"64.9%","27.5%","14.4%","0%",84,56,4.3,8.1,"24.6%",677,"27.9%","28.1%",280,"22.9%",0,0.49,0.26,0.31
"TitaN","RED Canids","ADC",18,"78%","33%",104,53,116,4.2,"72.4%","34.2%","22.2%","22%",-24,52,1.6,9.8,"33.6%",749,"32.3%","33.8%",344,"28.0%",0,0.57,0.22,0.35
"Trick","Los Grandes","Jungle",4,"50%","50%",9,11,18,2.5,"58.7%","19.6%","21.6%","50%",-64,-31,-3.3,5.2,"15.2%",320,"14.0%","14.4%",202,"17.3%",0,0.58,0.42,0.5
"Trigo","Vivo Keyd Stars","ADC",18,"56%","56%",89,31,102,6.2,"71.5%","33.3%","12.1%","11%",-86,45,-1.6,9.7,"34.4%",619,"26.9%","29.3%",325,"27.4%",0,0.49,0.18,0.3
"Tutsz","FURIA","Middle",18,"44%","56%",56,40,108,4.1,"74.2%","25.3%","19.0%","39%",149,110,2.1,8.4,"25.8%",572,"27.2%","27.1%",272,"24.3%",0,0.39,0.22,0.3
"Wizer","paiN Gaming","Top",18,"78%","39%",71,37,105,4.8,"57.9%","23.4%","20.1%","22%",290,226,7.9,8.4,"25.2%",540,"23.4%","20.9%",292,"23.2%",1,0.39,0.21,0.25
"Wos","Liberty","Support",13,"15%","77%",5,50,110,2.3,"72.3%","3.1%","21.9%","8%",-45,60,-1.3,0.7,"1.4%",160,"7.1%","6.3%",87,"8.0%",0,1.62,0.57,0.22
"Yampi","INTZ","Jungle",18,"61%","61%",33,39,163,5,"74.0%","12.5%","16.7%","39%",141,119,5,5.4,"16.0%",317,"14.3%","14.6%",201,"17.3%",2,0.35,0.31,0.33
"zay","FURIA","Support",18,"44%","39%",27,44,146,3.9,"78.3%","12.2%","20.9%","17%",42,-35,-1.1,1,"2.7%",171,"8.6%","7.2%",108,"9.7%",0,1.75,0.51,0.42
"Zzk","INTZ","Top",18,"61%","44%",74,48,98,3.6,"64.9%","27.9%","20.5%","28%",127,-76,0.2,7.7,"24.8%",572,"25.5%","23.5%",285,"24.3%",0,0.29,0.13,0.24
